Report Name:,Custom Statement Tool

Start Date:,="20250101"
End Date:,="20250107"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-01-01,2025-01-07,Account Level Statements,APP,1. less than 5 secs,504,9%,4,5,5,
2025-01-01,2025-01-07,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-01-01,2025-01-07,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-01-01,2025-01-07,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-01-01,2025-01-07,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-01-01,2025-01-07,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-01-01,2025-01-07,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-01-01,2025-01-07,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-01-01,2025-01-07,Account Level Statements,APP,9. Over a minute,26,78%,91,134,168,
2025-01-01,2025-01-07,Account Level Statements,Optima,9. Over a minute,16,0%,98,98,98,
2025-01-01,2025-01-07, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250108"
End Date:,="20250114"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-01-08,2025-01-14,Account Level Statements,APP,1. less than 5 secs,478,9%,4,5,5,
2025-01-08,2025-01-14,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-01-08,2025-01-14,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-01-08,2025-01-14,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-01-08,2025-01-14,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-01-08,2025-01-14,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-01-08,2025-01-14,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-01-08,2025-01-14,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-01-08,2025-01-14,Account Level Statements,APP,9. Over a minute,18,78%,91,134,168,
2025-01-08,2025-01-14,Account Level Statements,Optima,9. Over a minute,25,0%,98,98,98,
2025-01-08,2025-01-14, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250115"
End Date:,="20250121"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-01-15,2025-01-21,Account Level Statements,APP,1. less than 5 secs,440,9%,4,5,5,
2025-01-15,2025-01-21,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-01-15,2025-01-21,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-01-15,2025-01-21,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-01-15,2025-01-21,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-01-15,2025-01-21,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-01-15,2025-01-21,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-01-15,2025-01-21,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-01-15,2025-01-21,Account Level Statements,APP,9. Over a minute,15,78%,91,134,168,
2025-01-15,2025-01-21,Account Level Statements,Optima,9. Over a minute,27,0%,98,98,98,
