factset_model_code,fund_legal_name,mandate_code,sales_charge_code,saa_taa
"100E_C","Canadian Equity Managed Class","25004","13617","SAA"
"100E_C","Canadian Equity Managed Class","25004","25005","SAA"
"100E_C","Canadian Equity Managed Class","25004","25205","SAA"
"100E_C","Canadian Equity Managed Class","25004","25405","SAA"
"100E_C","Canadian Equity Managed Class","25004","25605","SAA"
"100E_C","Canadian Equity Managed Class","25004","26005","SAA"
"100E_C","Canadian Equity Managed Class","25004","26205","SAA"
"100E_C","Canadian Equity Managed Class","25004","26405","SAA"
"100E_C","Canadian Equity Managed Class","25004","26605","SAA"
"100E_C","Canadian Equity Managed Class","25004","27005","SAA"
"100E_C","Canadian Equity Managed Class","25004","27505","SAA"
"100E_C","Canadian Equity Managed Class","25004","28005","SAA"
"100E_C","Canadian Equity Managed Class","25004","28505","SAA"
"100E_C","Canadian Equity Managed Class","25004","29005","SAA"
"100E_C","Canadian Equity Managed Class","25004","29505","SAA"
"100E_C","Canadian Equity Managed Class","25004","9046","SAA"
"100E_C","International Equity Managed Class","25008","13619","SAA"
"100E_C","International Equity Managed Class","25008","25009","SAA"
"100E_C","International Equity Managed Class","25008","25209","SAA"
"100E_C","International Equity Managed Class","25008","25409","SAA"
"100E_C","International Equity Managed Class","25008","25609","SAA"
"100E_C","International Equity Managed Class","25008","26009","SAA"
"100E_C","International Equity Managed Class","25008","26209","SAA"
"100E_C","International Equity Managed Class","25008","26409","SAA"
"100E_C","International Equity Managed Class","25008","26609","SAA"
"100E_C","International Equity Managed Class","25008","27009","SAA"
"100E_C","International Equity Managed Class","25008","27509","SAA"
"100E_C","International Equity Managed Class","25008","28009","SAA"
"100E_C","International Equity Managed Class","25008","28509","SAA"
"100E_C","International Equity Managed Class","25008","29009","SAA"
"100E_C","International Equity Managed Class","25008","29509","SAA"
"100E_C","International Equity Managed Class","25008","9082","SAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","13616","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","25027","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","25227","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","25427","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","25627","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","26027","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","26227","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","26427","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","26627","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","27027","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","27527","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","28027","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","28527","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","29027","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","29527","TAA"
"100E_C","Tactical Asset Allocation Equity Class","25026","9499","TAA"
"100E_C","U.S. Equity Managed Class","25006","13618","SAA"
"100E_C","U.S. Equity Managed Class","25006","25007","SAA"
"100E_C","U.S. Equity Managed Class","25006","25207","SAA"
